seqn,split
93705,val
93708,train
93709,val
93711,train
93713,train
93714,test
93715,val
93716,test
93717,train
93718,train
93721,train
93722,train
93723,train
93726,train
93727,val
93728,train
93729,train
93730,train
93731,train
93732,val
93735,val
93738,val
93740,test
93742,val
93743,train
93746,val
93752,train
93754,test
93755,train
93756,train
93757,train
93758,train
93759,train
93760,val
93761,train
93762,val
93763,train
93766,train
93767,train
93768,train
93770,train
93772,train
93773,train
93774,train
93775,val
93776,train
93777,test
93780,train
93781,train
93782,test
93783,train
93785,train
93788,test
93789,train
93791,train
93792,train
93794,train
93795,train
93796,test
93797,train
93798,val
93799,val
93800,val
93801,train
93805,train
93806,test
93811,train
93812,train
93813,train
93814,train
93815,train
93816,val
93817,train
93819,train
93823,test
93824,train
93825,val
93827,train
93829,train
93830,test
93831,train
93832,test
93834,train
93837,train
93839,train
93840,test
93841,train
93843,train
93845,train
93846,train
93847,train
93848,train
93849,train
93850,test
93851,train
93852,test
93853,train
93855,val
93856,train
93859,train
93861,train
93863,train
93866,train
93868,train
93869,test
93870,test
93871,train
93875,train
93877,train
93878,train
93883,val
93887,train
93888,val
93890,train
93891,train
93892,train
93893,train
93894,val
93895,test
93899,train
93900,train
93902,test
93903,train
93906,train
93907,test
93908,train
93909,val
93912,train
93913,val
93914,train
93915,train
93916,train
93918,train
93920,train
93923,train
93924,train
93926,val
93927,train
93929,val
93930,train
93931,train
93932,train
93935,train
93937,train
93939,train
93940,test
93941,train
93942,train
93945,train
93946,test
93947,train
93949,train
93950,train
93952,train
93953,train
93954,train
93955,train
93957,train
93959,train
93960,test
93963,test
93964,train
93965,val
93968,train
93969,train
93970,train
93971,train
93972,train
93974,train
93975,train
93977,train
93978,val
93980,train
93981,train
93982,train
93983,train
93984,train
93985,train
93987,train
93988,val
93989,train
93990,train
93998,test
93999,test
94002,train
94003,train
94004,train
94007,val
94008,test
94010,val
94012,test
94013,train
94015,train
94016,val
94017,test
94019,train
94021,train
94026,val
94027,train
94028,train
94029,val
94030,test
94031,train
94033,train
94034,test
94037,test
94038,test
94039,train
94040,train
94041,train
94042,train
94043,train
94044,train
94045,train
94046,train
94047,train
94048,train
94049,train
94050,train
94051,train
94053,train
94054,train
94055,train
94057,train
94058,test
94059,train
94060,val
94061,test
94065,val
94067,val
94068,train
94069,train
94071,train
94073,train
94074,train
94080,train
94081,val
94082,train
94084,train
94086,val
94092,train
94093,train
94095,train
94096,val
94097,train
94098,train
94099,train
94101,test
94105,train
94108,train
94112,train
94113,train
94114,train
94116,train
94117,val
94118,train
94119,test
94122,train
94124,train
94126,val
94127,train
94128,test
94130,test
94131,train
94133,train
94134,train
94135,train
94137,train
94138,train
94139,val
94141,test
94150,train
94151,train
94152,train
94154,train
94155,train
94156,val
94157,test
94158,train
94160,test
94161,train
94162,train
94163,train
94166,train
94168,train
94169,train
94173,train
94174,test
94175,train
94176,train
94177,train
94178,train
94179,val
94181,train
94182,test
94183,val
94187,train
94189,train
94190,train
94192,test
94193,train
94198,test
94199,train
94200,train
94201,train
94202,val
94205,val
94206,train
94207,val
94208,train
94210,train
94211,train
94212,train
94216,train
94219,test
94221,train
94223,test
94224,train
94227,train
94229,train
94232,train
94233,train
94237,train
94241,test
94242,train
94243,test
94245,train
94246,test
94247,test
94248,train
94249,train
94250,train
94251,train
94253,test
94255,train
94258,val
94259,train
94260,train
94261,train
94262,train
94265,val
94266,train
94267,train
94270,train
94273,train
94274,test
94275,train
94276,train
94277,train
94278,val
94279,train
94281,test
94283,train
94284,val
94285,train
94286,train
94287,train
94290,train
94291,train
94293,train
94295,test
94298,train
94300,train
94301,val
94302,val
94303,train
94304,train
94306,train
94309,train
94311,val
94313,train
94314,train
94319,train
94320,train
94321,test
94322,test
94323,train
94324,train
94325,train
94326,train
94327,val
94328,train
94330,val
94335,val
94336,train
94337,train
94339,test
94340,train
94341,val
94342,val
94343,train
94345,val
94348,train
94350,train
94352,val
94356,train
94359,train
94360,val
94361,train
94362,test
94365,train
94366,test
94368,train
94372,test
94373,train
94374,train
94375,train
94376,train
94377,train
94379,train
94380,val
94381,val
94382,train
94385,train
94386,test
94387,train
94388,train
94390,test
94392,train
94393,train
94398,train
94399,train
94401,train
94404,test
94405,train
94406,train
94407,val
94408,train
94409,train
94410,train
94412,train
94414,train
94415,test
94416,train
94418,train
94420,train
94421,train
94424,test
94425,test
94427,train
94428,test
94429,train
94430,test
94431,train
94432,train
94433,val
94434,test
94436,test
94438,train
94443,train
94444,test
94445,train
94446,train
94448,train
94450,train
94453,train
94457,train
94458,train
94459,train
94460,test
94463,val
94464,train
94465,train
94469,train
94470,train
94471,train
94473,train
94474,val
94475,test
94476,train
94477,train
94478,val
94479,train
94481,train
94483,val
94486,train
94487,train
94488,train
94490,test
94493,train
94497,train
94499,train
94500,test
94501,train
94503,val
94504,test
94506,train
94507,train
94508,train
94509,val
94510,train
94512,test
94515,train
94519,val
94522,test
94523,train
94525,train
94526,train
94527,train
94528,train
94529,train
94530,train
94531,train
94532,test
94534,val
94538,train
94539,train
94541,train
94542,val
94547,val
94549,train
94552,train
94553,train
94554,train
94557,train
94558,test
94559,train
94560,train
94564,train
94565,train
94568,val
94569,val
94570,train
94571,train
94573,val
94575,train
94576,train
94577,train
94578,test
94579,train
94583,train
94586,train
94589,train
94590,val
94591,train
94594,train
94595,train
94596,train
94600,train
94605,train
94606,train
94607,train
94608,val
94609,train
94615,train
94616,train
94618,train
94619,val
94623,train
94624,train
94625,val
94627,train
94631,train
94632,train
94633,train
94634,test
94638,train
94640,train
94641,test
94642,train
94644,train
94647,val
94648,test
94649,train
94650,val
94651,train
94652,val
94654,train
94660,val
94663,val
94664,test
94666,val
94669,train
94670,val
94672,test
94673,val
94676,test
94677,test
94678,train
94679,train
94681,train
94684,train
94685,train
94686,val
94687,test
94688,train
94689,train
94693,train
94695,val
94696,test
94697,val
94698,train
94704,train
94705,train
94706,train
94707,val
94708,train
94710,test
94711,train
94713,train
94716,train
94719,train
94720,train
94721,train
94724,train
94725,val
94726,val
94729,train
94730,train
94731,train
94732,train
94735,train
94736,train
94739,val
94740,train
94744,train
94747,train
94748,train
94750,val
94752,train
94753,test
94754,train
94755,train
94760,train
94761,train
94763,train
94764,train
94765,test
94766,train
94767,train
94768,val
94771,train
94773,train
94775,train
94776,test
94777,train
94779,val
94780,train
94783,train
94785,train
94786,train
94788,train
94792,test
94793,train
94795,test
94797,test
94801,test
94802,val
94805,val
94806,train
94808,test
94809,train
94810,train
94811,train
94812,train
94813,train
94819,train
94826,train
94829,train
94831,train
94832,train
94834,train
94835,train
94836,train
94837,val
94844,train
94847,val
94848,test
94850,train
94852,test
94854,train
94855,test
94856,train
94857,val
94858,train
94860,test
94861,train
94862,train
94863,test
94867,train
94868,train
94872,val
94873,train
94877,train
94878,train
94879,train
94882,train
94883,train
94885,val
94887,test
94889,test
94890,train
94891,train
94892,train
94893,val
94894,train
94895,train
94896,train
94898,val
94899,train
94902,test
94903,train
94906,train
94907,train
94908,test
94909,train
94916,train
94918,test
94920,train
94921,train
94922,train
94924,val
94926,train
94927,train
94929,test
94930,train
94931,val
94933,train
94935,test
94936,train
94937,train
94938,test
94939,train
94940,train
94941,train
94945,train
94946,train
94950,val
94952,val
94953,train
94954,train
94957,test
94958,test
94959,train
94960,train
94962,train
94964,val
94966,train
94967,train
94968,train
94969,train
94970,val
94972,train
94975,train
94977,train
94979,val
94980,test
94982,val
94984,train
94986,test
94987,val
94989,train
94990,test
94991,val
94993,train
94995,train
94997,train
94998,train
95000,test
95001,train
95002,test
95004,train
95005,train
95007,train
95011,test
95013,train
95014,train
95016,train
95019,train
95020,train
95025,train
95026,train
95027,train
95028,val
95029,train
95030,train
95031,train
95033,train
95034,train
95035,train
95036,train
95037,test
95039,train
95040,train
95041,train
95042,train
95043,train
95044,train
95045,train
95046,train
95047,val
95048,train
95051,train
95052,train
95053,test
95055,train
95056,train
95057,train
95058,train
95059,val
95060,train
95061,test
95062,val
95063,train
95064,train
95066,test
95067,train
95068,train
95069,val
95070,test
95071,train
95073,val
95074,train
95075,train
95077,test
95080,train
95083,train
95088,val
95089,train
95091,train
95093,train
95094,train
95095,test
95096,train
95097,val
95098,train
95099,train
95101,test
95102,train
95103,train
95105,test
95110,train
95113,train
95114,train
95115,train
95116,train
95118,test
95121,train
95123,test
95124,val
95126,test
95128,train
95129,test
95131,train
95134,train
95135,train
95137,train
95138,train
95140,train
95143,train
95148,val
95149,train
95151,val
95152,train
95153,train
95155,train
95157,test
95160,train
95163,val
95165,train
95168,train
95169,test
95170,train
95171,train
95172,train
95173,train
95174,train
95177,test
95179,val
95181,train
95182,train
95184,train
95186,train
95189,train
95190,train
95191,val
95197,train
95199,train
95200,train
95202,train
95203,train
95206,val
95207,train
95208,train
95209,train
95210,train
95211,test
95213,test
95214,test
95215,train
95216,train
95220,test
95221,train
95222,train
95224,train
95227,train
95228,train
95231,train
95232,train
95233,val
95236,train
95237,test
95238,train
95239,train
95242,train
95243,val
95244,train
95247,train
95249,train
95250,train
95251,train
95252,train
95255,train
95256,train
95257,train
95258,train
95259,train
95260,train
95261,train
95262,train
95265,train
95266,val
95268,train
95272,val
95273,val
95274,train
95275,train
95276,train
95278,train
95279,train
95280,train
95281,val
95284,train
95287,train
95288,val
95289,train
95296,train
95298,train
95302,train
95308,train
95310,train
95312,train
95313,train
95315,train
95316,train
95318,train
95319,train
95321,train
95323,test
95324,train
95325,val
95326,train
95329,test
95330,train
95332,train
95333,train
95334,train
95338,train
95342,test
95346,val
95348,train
95351,train
95352,test
95353,train
95356,train
95357,train
95358,test
95360,train
95361,test
95362,val
95364,test
95366,train
95367,train
95372,test
95374,train
95375,train
95377,train
95378,train
95379,test
95380,train
95382,train
95385,train
95389,train
95391,train
95392,train
95393,train
95394,train
