source_collection_name,diagnosis_original_level_3,diagnosis_harmonized,diagnosis_candidate,diagnosis_mapping_status,records
HAM10000,Nevus,NV,UNRESOLVED,APPROVED_DIRECT,7737
HAM10000,Pigmented benign keratosis,BKL,BKL,APPROVED_ANALYTICAL_AGGREGATION,1338
HAM10000,"Melanoma, NOS",MEL,UNRESOLVED,APPROVED_DIRECT,1305
HAM10000,Basal cell carcinoma,BCC,UNRESOLVED,APPROVED_DIRECT,622
HAM10000,"Squamous cell carcinoma, NOS",SCC,UNRESOLVED,APPROVED_DIRECT,229
HAM10000,,MISSING,MISSING,SOURCE_MISSING,180
HAM10000,Dermatofibroma,DF,UNRESOLVED,APPROVED_DIRECT,160
HAM10000,Solar or actinic keratosis,AK,UNRESOLVED,APPROVED_DIRECT,149
HIBA Skin Lesions,Nevus,NV,UNRESOLVED,APPROVED_DIRECT,602
HIBA Skin Lesions,Basal cell carcinoma,BCC,UNRESOLVED,APPROVED_DIRECT,340
HIBA Skin Lesions,"Melanoma, NOS",MEL,UNRESOLVED,APPROVED_DIRECT,253
HIBA Skin Lesions,"Squamous cell carcinoma, NOS",SCC,UNRESOLVED,APPROVED_DIRECT,158
HIBA Skin Lesions,Seborrheic keratosis,BKL,BKL,APPROVED_ANALYTICAL_AGGREGATION,68
HIBA Skin Lesions,Solar or actinic keratosis,AK,UNRESOLVED,APPROVED_DIRECT,63
HIBA Skin Lesions,Dermatofibroma,DF,UNRESOLVED,APPROVED_DIRECT,61
HIBA Skin Lesions,,MISSING,MISSING,SOURCE_MISSING,51
HIBA Skin Lesions,Solar lentigo,BKL,BKL,APPROVED_ANALYTICAL_AGGREGATION,18
HIBA Skin Lesions,Lichen planus like keratosis,BKL,BKL,APPROVED_ANALYTICAL_AGGREGATION,2
PAD-UFES-20,Basal cell carcinoma,BCC,UNRESOLVED,APPROVED_DIRECT,845
PAD-UFES-20,Solar or actinic keratosis,AK,UNRESOLVED,APPROVED_DIRECT,730
PAD-UFES-20,Nevus,NV,UNRESOLVED,APPROVED_DIRECT,244
PAD-UFES-20,Seborrheic keratosis,BKL,BKL,APPROVED_ANALYTICAL_AGGREGATION,235
PAD-UFES-20,"Squamous cell carcinoma, NOS",SCC,UNRESOLVED,APPROVED_DIRECT,192
PAD-UFES-20,"Melanoma, NOS",MEL,UNRESOLVED,APPROVED_DIRECT,52
