condition,rule,baseline_records,baseline_passing,baseline_pass_percent,output_records,output_passing,output_compliance_percent
G2_DERM_CANCER_HISTO,DERMOSCOPIC,15634,12989,83.082,2689,2689,100.0
G2_DERM_CANCER_HISTO,MALIGNANT_CODE,15634,3996,25.56,2689,2689,100.0
G2_DERM_CANCER_HISTO,HISTOPATHOLOGY,15634,8605,55.04,2689,2689,100.0
G2_DERM_CANCER_HISTO,ALL_PREDECLARED_RULES,15634,2689,17.2,2689,2689,100.0
G3_CLINICAL_CANCER_PHOTOTYPE,CLINICAL_MODALITY,15634,2644,16.912,1299,1299,100.0
G3_CLINICAL_CANCER_PHOTOTYPE,MALIGNANT_CODE,15634,3996,25.56,1299,1299,100.0
G3_CLINICAL_CANCER_PHOTOTYPE,HISTOPATHOLOGY,15634,8605,55.04,1299,1299,100.0
G3_CLINICAL_CANCER_PHOTOTYPE,KNOWN_PHOTOTYPE,15634,2993,19.144,1299,1299,100.0
G3_CLINICAL_CANCER_PHOTOTYPE,PATIENT_ID_PRESENT,15634,3914,25.035,1299,1299,100.0
G3_CLINICAL_CANCER_PHOTOTYPE,ALL_PREDECLARED_RULES,15634,1299,8.309,1299,1299,100.0
G4_CC_BY_POLICY,EXACT_CC_BY_LABEL,15634,3914,25.035,3914,3914,100.0
G4_CC_BY_POLICY,ALL_PREDECLARED_RULES,15634,3914,25.035,3914,3914,100.0
